refseq_mrna,entrezgene,uniprot_gn,external_gene_name
129,NM_001002846,30843,D3YWZ8,Fbxl12
130,NM_001002846,30843,A0A0R4J1W2,Fbxl12
131,NM_001002846,30843,A0A0R4J1Q8,Fbxl12
132,NM_001002894,76858,Q6B966,Nlrp14
133,NM_001002894,76858,A0A0N4SW95,Nlrp14
134,NM_001002895,106672,Q3V2N7,AI413582
135,NM_001002896,107993,Q6NVD9,Bfsp2
136,NM_001002897,213948,Q6EBV9,Atg9b
137,NM_001002898,320832,Q6F5F2,Sirpb1a
138,NM_001002900,380975,Q76I25,Higd1c
139,NM_001002900,380975,Q1XG80,Higd1c
140,NM_001002927,18619,P22005,Penk
141,NM_001002929,445007,Q8R480,Nup85
142,NM_001003393,232925,Q6B9Z0,Igfl3
143,NM_001003405,103964,Q9QUK9,Try5
144,NM_001003664,386551,,Gm5409
145,NM_001003666,431706,,Zfp457
146,NM_001003667,406220,Q08EK5,Krt77
147,NM_001003667,406220,Q6IFZ6,Krt77
148,NM_001003668,406219,Q6IMF0,Krt87
149,NM_001003670,406223,Q6IFZ8,Gm5414
150,NM_001003671,353236,Q91Y10,Pcdhac1
151,NM_001003672,353237,Q91Y09,Pcdhac2
152,NM_001003685,14602,P32082,Ghrhr
153,NM_001003717,237542,B9EJ86,Osbpl8
154,NM_001003719,56784,Q6GYP7,Ralgapa1
155,NM_001003817,13866,P70424,Erbb2
156,NM_001003824,16536,B7ZBV7,Kcnq2
157,NM_001003824,16536,B7ZBV4,Kcnq2
158,NM_001003824,16536,B7ZBV9,Kcnq2
159,NM_001003824,16536,B7ZBV8,Kcnq2
160,NM_001003825,16536,B7ZBV7,Kcnq2
161,NM_001003825,16536,B7ZBV4,Kcnq2
162,NM_001003825,16536,B7ZBV9,Kcnq2
163,NM_001003825,16536,B7ZBV8,Kcnq2
164,NM_001003893,17175,Q91WP0,Masp2
165,NM_001003898,230908,Q544R5,Tardbp
166,NM_001003898,230908,Q6VYI5,Tardbp
167,NM_001003898,230908,Q8R0B4,Tardbp
168,NM_001003898,230908,Q8BLD4,Tardbp
169,NM_001003898,230908,Q6VYI4,Tardbp
170,NM_001003898,230908,Q921F2,Tardbp
171,NM_001003899,230908,Q544R5,Tardbp
172,NM_001003899,230908,Q6VYI5,Tardbp
173,NM_001003899,230908,Q8R0B4,Tardbp
174,NM_001003899,230908,Q8BLD4,Tardbp
175,NM_001003899,230908,Q6VYI4,Tardbp
176,NM_001003899,230908,Q921F2,Tardbp
177,NM_001003908,67300,Q68FD5,Cltc
178,NM_001003909,70797,Q6ZPS6,Ankib1
179,NM_001003910,103220,A0A0G2LB92,Ttc41
180,NM_001003911,108153,Q68SA9,Adamts7
181,NM_001003912,213498,Q68FM7,Arhgef11
182,NM_001003913,216443,Q68FL6,Mars
183,NM_001003915,241612,B9EJ03,Slc5a12
184,NM_001003915,241612,Q49B93,Slc5a12
185,NM_001003916,245522,Q05BE0,Zc4h2
186,NM_001003916,245522,Q68FG0,Zc4h2
187,NM_001003917,245860,Q3ZAQ4,Atg9a
188,NM_001003918,252870,,Usp7
189,NM_001003919,320209,Q6AXC6,Ddx11
190,NM_001003920,381979,Q5RJI5,Brsk1
191,NM_001003933,20168,Q9ES97,Rtn3
192,NM_001003934,20168,Q9ES97,Rtn3
193,NM_001003939,103220,A0A0G2LB92,Ttc41
194,NM_001003947,81906,Q6A152,Cyp4x1
195,NM_001003948,98496,H3BKK5,Pid1
196,NM_001003948,98496,Q3UBG2,Pid1
197,NM_001003948,98496,H3BJG6,Pid1
198,NM_001003949,216157,Q8CIV2,Tmem259
199,NM_001003950,216363,A0A1W2P7K6,Rab3ip
200,NM_001003950,216363,Q68EF0,Rab3ip
201,NM_001003951,67935,Q6AW46,Ces5a
202,NM_001003952,387564,Q76I99,Sval3
203,NM_001003953,30841,Q6P1G2,Kdm2b
204,NM_001003955,52055,Q8R361,Rab11fip5
205,NM_001003960,13436,O88509,Dnmt3b
206,NM_001003960,13436,Q3KR45,Dnmt3b
207,NM_001003960,13436,Q541E5,Dnmt3b
208,NM_001003961,13436,O88509,Dnmt3b
209,NM_001003961,13436,Q3KR45,Dnmt3b
210,NM_001003961,13436,Q541E5,Dnmt3b
211,NM_001003963,13436,O88509,Dnmt3b
212,NM_001003963,13436,Q3KR45,Dnmt3b
213,NM_001003963,13436,Q541E5,Dnmt3b
214,NM_001003972,66315,Q9CRF0,Senp7
215,NM_001003972,66315,Q9CQN9,Senp7
216,NM_001003972,66315,Q8BUH8,Senp7
217,NM_001003973,66315,Q9CRF0,Senp7
218,NM_001003973,66315,Q9CQN9,Senp7
219,NM_001003973,66315,Q8BUH8,Senp7
220,NM_001004025,19059,Q63811,Ppp3r2
221,NM_001004025,19059,Q497S1,Ppp3r2
222,NM_001004061,225497,Q66LM6,Fam170a
223,NM_001004062,382056,Q68ED7,Crtc1
224,NM_001004066,56220,Q3TN43,Zfp386
225,NM_001004066,56220,Q1WWJ5,Zfp386
226,NM_001004139,70227,G3X9T2,Zfp619
227,NM_001004140,80986,Q3V1H1,Ckap2
228,NM_001004141,100066,Q3UNV2,Cyp2j11
229,NM_001004142,195046,Q2LKU9,Nlrp1a
230,NM_001004143,216825,Q5DU02,Usp22
231,NM_001004144,216963,Q68FF6,Git1
232,NM_001004147,237730,Q80WS3,Fbll1
233,NM_001004148,237831,Q67BT3,Slc13a5
234,NM_001004149,238803,Q6NS86,Zfp366
235,NM_001004150,239559,Q67BJ4,A4galt
236,NM_001004150,239559,Q3UF00,A4galt
237,NM_001004151,239766,B2RSL5,Rtp1
238,NM_001004151,239766,Q8C8C1,Rtp1
239,NM_001004152,243862,Q810J1,Psg22
240,NM_001004153,245128,,AU018091
241,NM_001004153,245128,,AC245272.3
242,NM_001004154,245670,Q6NTA4,Rragb
243,NM_001004155,268759,,9930012K11Rik
244,NM_001004157,380713,Q5ND28,Scarf1
245,NM_001004158,380907,Q8C5X9,Gm5142
246,NM_001004159,381809,Q67DU8,Clec4b2
247,NM_001004164,432486,Q69ZN6,Gnptab
248,NM_001004173,433323,Q810K3,Sgpp2
249,NM_001004174,433470,Q810Q5,AA467197
250,NM_001004174,433470,Q3UCF3,AA467197
251,NM_001004176,433586,D4QGC2,Maml3
252,NM_001004177,53883,A2AEE7,Celsr2
253,NM_001004178,433752,Q6P3A2,Frg2f1
254,NM_001004180,433940,Q6PGH4,Fam222a
255,NM_001004182,434008,Q8BNC6,Tmem178b
256,NM_001004184,434203,,Slc28a1
257,NM_001004185,434204,Q571B6,Whamm
258,NM_001004187,434234,D3Z3J7,Rexo5
259,NM_001004187,434234,Q7TSF9,Rexo5
260,NM_001004190,434377,Q3URI6,Zfp560
261,NM_001004190,434377,A0A1L1SUU9,Zfp560
262,NM_001004191,434402,Q91VN2,Gm5617
263,NM_001004192,434439,Q80ZQ7,BC048562
264,NM_001004193,434768,Q6VSS7,Rhox8
265,NM_001004194,446099,Q66X19,Nlrp4e
266,NM_001004293,229715,Q80ZD8,Amigo1
267,NM_001004357,66797,Q3SYI6,Cntnap2
268,NM_001004359,67298,Q5U4C1,Gprasp1
269,NM_001004361,66648,,Tpgs2
270,NM_001004362,72128,G3X964,2610008E11Rik
271,NM_001004363,77976,Q641K5,Nuak1
272,NM_001004364,211914,Q7SIG6,Asap2
273,NM_001004365,242894,Q641P0,Actr3b
274,NM_001004366,268935,Q66PY1,Scube3
275,NM_001004367,319478,Q6NXI8,Cxxc4
276,NM_001004435,104709,Q3U6Q4,Pik3r6
277,NM_001004436,218914,B7ZP47,Wapl
278,NM_001004436,218914,Q65Z40,Wapl
279,NM_001004455,12879,,Cys1
280,NM_001004468,57752,,Tacc2
281,NM_001004721,228812,Q3TAA8,Pigu
282,NM_001004721,228812,Q8K358,Pigu
283,NM_001004761,241263,Q8C419,Gpr158
284,NM_001004762,232889,Q64GA5,Pla2g4c
285,NM_001005223,448850,Q9CQK1,Znhit3
286,NM_001005225,433449,Q7TR13,Olfr1197
287,NM_001005227,257887,,Olfr1200
288,NM_001005230,257900,,Olfr1024
289,NM_001005232,13172,P52950,Dbx1
290,NM_001005247,246694,P59438,Hps5
