,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezgene,uniprot_gn,external_gene_name
4,11302,715.026061879696,5.95162830057045,1.2182649162338899,19.3652495238451,0.00022974343277982402,0.0106813122588295,11302,B1AZF9,Aatk
5,11302,715.026061879696,5.95162830057045,1.2182649162338899,19.3652495238451,0.00022974343277982402,0.0106813122588295,11302,B1AZF9,Aatk
6,11302,715.026061879696,5.95162830057045,1.2182649162338899,19.3652495238451,0.00022974343277982402,0.0106813122588295,11302,B1AZF9,Aatk
84,11433,107.529748160772,-1.02795708713919,1.75201982018418,28.4292293969706,2.95144914281321e-06,0.000333441851454461,11433,Q05117,Acp5
85,11433,107.529748160772,-1.02795708713919,1.75201982018418,28.4292293969706,2.95144914281321e-06,0.000333441851454461,11433,Q05117,Acp5
86,11433,107.529748160772,-1.02795708713919,1.75201982018418,28.4292293969706,2.95144914281321e-06,0.000333441851454461,11433,Q05117,Acp5
135,11482,9894.10580400833,0.6678305088723879,0.257063151886217,18.0750785685493,0.000424442038488398,0.0168017721015312,11482,Q61288,Acvrl1
136,11482,9894.10580400833,0.6678305088723879,0.257063151886217,18.0750785685493,0.000424442038488398,0.0168017721015312,11482,Q61288,Acvrl1
137,11482,9894.10580400833,0.6678305088723879,0.257063151886217,18.0750785685493,0.000424442038488398,0.0168017721015312,11482,Q61288,Acvrl1
138,11482,9894.10580400833,0.6678305088723879,0.257063151886217,18.0750785685493,0.000424442038488398,0.0168017721015312,11482,Q61288,Acvrl1
139,11482,9894.10580400833,0.6678305088723879,0.257063151886217,18.0750785685493,0.000424442038488398,0.0168017721015312,11482,Q61288,Acvrl1
412,11640,954.08121296292,-6.14279537693563,1.34659452519405,18.314441015944897,0.000378814477785436,0.0155269194024574,11640,O08715,Akap1
413,11640,954.08121296292,-6.14279537693563,1.34659452519405,18.314441015944897,0.000378814477785436,0.0155269194024574,11640,O08715,Akap1
834,11845,7771.564472191179,-0.143785892521279,0.249481380222851,17.168864315181903,0.000652414311081762,0.0238325803251657,11845,P62331,Arf6
835,11845,7771.564472191179,-0.143785892521279,0.249481380222851,17.168864315181903,0.000652414311081762,0.0238325803251657,11845,Q3U0D7,Arf6
997,11931,1092.12011606716,0.136576647409453,0.697117019322298,40.1409982926357,9.946454105485072e-09,2.20324539770649e-06,11931,P14094,Atp1b1
998,11931,1092.12011606716,0.136576647409453,0.697117019322298,40.1409982926357,9.946454105485072e-09,2.20324539770649e-06,11931,Q545P0,Atp1b1
1296,12160,135.81809810238198,3.95476751308806,1.55696504630308,17.8732881750345,0.000467124940515496,0.0180789507647094,12160,,Bmp5
1349,12212,160.907891153598,5.29705580703381,1.3866371839528602,20.0132004088031,0.00016867655935016298,0.00870566432696725,12212,Q8CBW7,Chic1
1350,12212,160.907891153598,5.29705580703381,1.3866371839528602,20.0132004088031,0.00016867655935016298,0.00870566432696725,12212,A2RT09,Chic1
1632,12345,7588.97019617073,0.967170988535389,0.3674744541412511,23.603026732150802,3.02303754551277e-05,0.00224806027759524,12345,P47757,Capzb
1633,12345,7588.97019617073,0.967170988535389,0.3674744541412511,23.603026732150802,3.02303754551277e-05,0.00224806027759524,12345,A2AMW0,Capzb
1634,12345,7588.97019617073,0.967170988535389,0.3674744541412511,23.603026732150802,3.02303754551277e-05,0.00224806027759524,12345,Q923G3,Capzb
1635,12345,7588.97019617073,0.967170988535389,0.3674744541412511,23.603026732150802,3.02303754551277e-05,0.00224806027759524,12345,P47757,Capzb
1636,12345,7588.97019617073,0.967170988535389,0.3674744541412511,23.603026732150802,3.02303754551277e-05,0.00224806027759524,12345,A2AMW0,Capzb
1637,12345,7588.97019617073,0.967170988535389,0.3674744541412511,23.603026732150802,3.02303754551277e-05,0.00224806027759524,12345,Q923G3,Capzb
1638,12345,7588.97019617073,0.967170988535389,0.3674744541412511,23.603026732150802,3.02303754551277e-05,0.00224806027759524,12345,P47757,Capzb
1639,12345,7588.97019617073,0.967170988535389,0.3674744541412511,23.603026732150802,3.02303754551277e-05,0.00224806027759524,12345,A2AMW0,Capzb
1640,12345,7588.97019617073,0.967170988535389,0.3674744541412511,23.603026732150802,3.02303754551277e-05,0.00224806027759524,12345,Q923G3,Capzb
1647,12351,7389.427879721371,-0.0685212743637098,0.22304601590379,24.327732152914,2.1337975228046802e-05,0.00163345338308232,12351,Q64444,Car4
1923,12469,12705.8274731128,-0.5800243524872679,0.131972488300896,22.2563640632712,5.76899957713184e-05,0.00372178498609315,12469,Q3UL22,Cct8
1924,12469,12705.8274731128,-0.5800243524872679,0.131972488300896,22.2563640632712,5.76899957713184e-05,0.00372178498609315,12469,P42932,Cct8
1966,12492,1264.2934212529901,1.16600763460818,0.401378317245863,16.232034576172598,0.00101629001844833,0.0339121646861076,12492,O35114,Scarb2
2033,12508,95.52670129609129,-5.942660971619651,1.84827091992796,19.408816507529398,0.000225022909081465,0.0106005136038332,12508,Q61451,Cd53
2034,12508,95.52670129609129,-5.942660971619651,1.84827091992796,19.408816507529398,0.000225022909081465,0.0106005136038332,12508,Q3U0W1,Cd53
2072,12520,21390.065661193,0.077179846834419,0.16891107451412196,20.6229460384903,0.000126067917451023,0.00687169156325971,12520,P35762,Cd81
