,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezgene,uniprot_gn,external_gene_name
447,11669,4032.36834537766,-0.129400464224069,0.186152069443059,20.6367195107832,0.000125240945339108,0.0105458671580353,11669,P47738,Aldh2
448,11669,4032.36834537766,-0.129400464224069,0.186152069443059,20.6367195107832,0.000125240945339108,0.0105458671580353,11669,Q544B1,Aldh2
449,11669,4032.36834537766,-0.129400464224069,0.186152069443059,20.6367195107832,0.000125240945339108,0.0105458671580353,11669,P47738,Aldh2
450,11669,4032.36834537766,-0.129400464224069,0.186152069443059,20.6367195107832,0.000125240945339108,0.0105458671580353,11669,Q544B1,Aldh2
596,11736,5151.8559682004,0.27863075516782204,0.22164840129353303,16.1708143476643,0.0010461096167164198,0.0465212827966992,11736,Q810B6,Ankfy1
628,11766,841.875839431589,0.234509287425065,0.418457388459673,16.5696215597143,0.000866395841577161,0.04058213946529,11766,O88512,Ap1g2
629,11766,841.875839431589,0.234509287425065,0.418457388459673,16.5696215597143,0.000866395841577161,0.04058213946529,11766,O88512,Ap1g2
650,11776,4742.464179187779,-0.490506077960734,0.21933905020687602,20.5711644691908,0.000129225865959578,0.0106047914641068,11776,O54774,Ap3d1
844,11852,3313.3196705732103,0.29408124447711403,0.213623549569579,19.956973325503398,0.000173263414265032,0.012879247127033998,11852,Q4FJM5,Rhob
845,11852,3313.3196705732103,0.29408124447711403,0.213623549569579,19.956973325503398,0.000173263414265032,0.012879247127033998,11852,P62746,Rhob
1068,11982,118.704073880135,0.368424225911741,2.58462904108716,33.0634744429896,3.1228947020584805e-07,7.8133302082234e-05,11982,O54827,Atp10a
1069,11982,118.704073880135,0.368424225911741,2.58462904108716,33.0634744429896,3.1228947020584805e-07,7.8133302082234e-05,11982,Q3V1Y7,Atp10a
1133,12010,91531.9959638919,0.0019081591282260899,0.17326292550643202,36.1382883243102,7.00081477201403e-08,2.17619266458545e-05,12010,P01887,B2m
1406,12273,9056.28621490983,-0.129661375531578,0.235366876330863,15.9593831088401,0.00115593565365113,0.0498217980468624,12273,P30993,C5ar1
1407,12273,9056.28621490983,-0.129661375531578,0.235366876330863,15.9593831088401,0.00115593565365113,0.0498217980468624,12273,P30993,C5ar1
1411,12282,5539.621123981071,-0.3874178618112029,0.234151767476656,17.9280743814191,0.000455131479070278,0.0274631688958995,12282,Q9JKR6,Hyou1
1632,12345,8387.832084454309,0.673327839605444,0.17868797827739202,19.1635522825723,0.00025291421512514797,0.0175296893159038,12345,P47757,Capzb
1633,12345,8387.832084454309,0.673327839605444,0.17868797827739202,19.1635522825723,0.00025291421512514797,0.0175296893159038,12345,A2AMW0,Capzb
1634,12345,8387.832084454309,0.673327839605444,0.17868797827739202,19.1635522825723,0.00025291421512514797,0.0175296893159038,12345,Q923G3,Capzb
1635,12345,8387.832084454309,0.673327839605444,0.17868797827739202,19.1635522825723,0.00025291421512514797,0.0175296893159038,12345,P47757,Capzb
1636,12345,8387.832084454309,0.673327839605444,0.17868797827739202,19.1635522825723,0.00025291421512514797,0.0175296893159038,12345,A2AMW0,Capzb
1637,12345,8387.832084454309,0.673327839605444,0.17868797827739202,19.1635522825723,0.00025291421512514797,0.0175296893159038,12345,Q923G3,Capzb
1638,12345,8387.832084454309,0.673327839605444,0.17868797827739202,19.1635522825723,0.00025291421512514797,0.0175296893159038,12345,P47757,Capzb
1639,12345,8387.832084454309,0.673327839605444,0.17868797827739202,19.1635522825723,0.00025291421512514797,0.0175296893159038,12345,A2AMW0,Capzb
1640,12345,8387.832084454309,0.673327839605444,0.17868797827739202,19.1635522825723,0.00025291421512514797,0.0175296893159038,12345,Q923G3,Capzb
1883,12450,2429.80255617161,0.35549354044079995,0.29271784149317204,18.3620454219933,0.000370339349798571,0.0235959071443089,12450,P51945,Ccng1
1884,12450,2429.80255617161,0.35549354044079995,0.29271784149317204,18.3620454219933,0.000370339349798571,0.0235959071443089,12450,Q5NC86,Ccng1
2033,12508,34187.9956137318,0.15106428485107298,0.096976437626605,22.9782579084136,4.08066119138019e-05,0.00459993653859098,12508,Q61451,Cd53
2034,12508,34187.9956137318,0.15106428485107298,0.096976437626605,22.9782579084136,4.08066119138019e-05,0.00459993653859098,12508,Q3U0W1,Cd53
2592,12862,1141.12383353877,0.49475452555888794,0.34754685841405897,16.802687429465,0.000775941411220396,0.0383344492470406,12862,P43023,Cox6a2
2969,13032,6793.420088471279,-0.00808771583766932,0.185199108766469,32.2560060910848,4.62199986964865e-07,0.00011026156898338601,13032,P97821,Ctsc
2970,13032,6793.420088471279,-0.00808771583766932,0.185199108766469,32.2560060910848,4.62199986964865e-07,0.00011026156898338601,13032,Q3UBY5,Ctsc
2971,13032,6793.420088471279,-0.00808771583766932,0.185199108766469,32.2560060910848,4.62199986964865e-07,0.00011026156898338601,13032,Q3U7T5,Ctsc
2972,13032,6793.420088471279,-0.00808771583766932,0.185199108766469,32.2560060910848,4.62199986964865e-07,0.00011026156898338601,13032,P97821,Ctsc
2973,13032,6793.420088471279,-0.00808771583766932,0.185199108766469,32.2560060910848,4.62199986964865e-07,0.00011026156898338601,13032,Q3UBY5,Ctsc
2974,13032,6793.420088471279,-0.00808771583766932,0.185199108766469,32.2560060910848,4.62199986964865e-07,0.00011026156898338601,13032,Q3U7T5,Ctsc
2975,13033,399243.29269608104,0.126122742282756,0.181378914032049,18.7740062709736,0.00030444686212100603,0.0205461573134032,13033,P18242,Ctsd
