"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"11287",1.93459001780047,5.92133205754671,4.69753007128014,1.26052030911919,0.207481726241753,0.703883774579877
"11298",0.316303634498709,-0.0790142537964553,4.90330731884878,-0.0161144812385544,0.987143060657665,1
"11302",12.814439250995,27.7881184682714,4.57038392719617,6.08004030097287,1.20152344592596e-09,9.31180670592623e-08
"11303",2981.66570703324,0.535819200900021,0.329111767630329,1.62807670098832,0.103508623157078,0.503819013622206
"11304",0,NA,NA,NA,NA,NA
"11305",450.603575210485,2.6089150179963,1.33931324552442,1.94794983676485,0.0514209657228733,0.3328642560715
"11306",698.382560840926,-0.085544921588843,0.552303455513505,-0.154887536434671,0.876909979551941,1
"11307",2334.3447831676,0.0192796608351315,0.449118984974973,0.0429277351439639,0.965759139676271,1
"11308",1808.67614203478,0.48101235335592,0.332690149182909,1.44582685882733,0.148225770701264,0.605490337125223
"11350",1322.45278114634,0.920245256595438,0.414033996493844,2.22263211327652,0.0262406169537595,0.214193450266206
"11352",785.5129876162,-0.493350201030855,0.571034160297908,-0.863959173254144,0.3876103186767,0.890361262232829
"11354",0,NA,NA,NA,NA,NA
"11363",8149.911304948,0.304090799514889,0.205389961610212,1.48055336848444,0.138725629346825,0.586669193111501
"11364",1132.17248847427,-0.207196381999484,0.45839788200303,-0.452001176563277,0.651268134840178,1
"11370",5236.35330435378,0.605708967697355,0.249378962023541,2.42886955171534,0.0151459807440786,0.146749737478382
"11409",792.028221893597,0.330850103476033,0.502500720994609,0.658407221428808,0.510276496329116,0.95267092127826
"11416",975.015932082499,-0.143912605804399,0.565968091259455,-0.254276889504757,0.799281652670518,1
"11418",0,NA,NA,NA,NA,NA
"11419",0,NA,NA,NA,NA,NA
"11421",0.579034759797047,-0.349074441112157,3.32980825947084,-0.104833195761137,0.91650816876286,1
"11423",27.476570108003,-8.49289788429061,4.37545708834156,-1.94103100837625,0.0522545163317995,0.336483691624818
"11425",0,NA,NA,NA,NA,NA
"11426",346.213652121579,2.27014901269758,3.24860224536215,0.698807930684204,0.484672071626921,0.941536749644276
"11428",3374.28121117698,-0.0199650496204383,0.194721036191181,-0.102531549805622,0.918334771678723,1
"11429",11926.6363332429,0.199734964061224,0.171225248770185,1.16650415459056,0.243410669824343,0.757265576282244
"11430",2368.22280631786,0.503379714654161,0.478668655062492,1.05162456185572,0.292971834244204,0.815109112027651
"11431",1904.8259643953,0.0893899160573431,0.261678278624756,0.341602354338044,0.732650165178186,1
"11432",1516.42689822923,-1.074421761571,0.537840148366499,-1.99766002005277,0.0457535314020752,0.309685474555531
"11433",649.323526225169,-0.215317096255002,0.735901786407864,-0.292589446352648,0.769835981515256,1
"11434",0,NA,NA,NA,NA,NA
"11435",171.202427837422,0.739538751169844,0.997261529377592,0.741569517508013,0.458348197970852,0.929497538957739
"11438",0.229153137816364,0.704896851436358,2.83634094587775,0.248523313976351,0.803729533844974,1
