"KO1_MG_C" "KO1_MG_B" "KO1_MG_A" "KO2_MG_C" "KO2_MG_B" "KO2_MG_A" "PBS_MG_B" "PBS_MG_A" "WT_MG_C" "WT_MG_A" "WT_MG_B"
"11287" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 10.3342566973242 9.88925894188358 9.88925894188358 10.1413758241499
"11298" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 10.2231464891987 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11302" 9.88925894188358 9.88925894188358 9.88925894188358 10.4382134036251 9.88925894188358 9.88925894188358 10.3781090916483 10.2374467437664 9.88925894188358 9.88925894188358 10.3461984216317
"11303" 11.2820809975703 11.8537519138821 11.6380211671749 11.5214610146305 11.7056476013229 12.1617792577306 11.6224781986169 12.4874346771226 11.501381823897 11.678907530581 11.621712273463
"11304" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11305" 10.4994503160885 10.5046307379681 10.6846186405062 10.9489512937516 10.6644335549518 10.6579685002991 10.9491579233901 11.1480090377819 10.9242996908564 9.88925894188358 10.3789190648296
"11306" 11.064187124395 10.9243632657907 10.7795716770217 10.9256887005761 11.047082602233 10.9337494607909 10.7957225191027 10.9671209959329 10.6751855885459 10.6709567529063 10.8900819809458
"11307" 11.237401721872 11.3867238277976 11.8484575663004 11.2487605114246 11.4704446704941 11.9821517446009 11.8923058039662 11.1827861102743 11.1916466819239 12.0811169677161 11.3004263543391
"11308" 11.3853693843308 11.3275169282661 11.1400458674603 11.2789111170432 11.2645881393864 11.5113264548922 11.4833790170369 11.5408705449141 11.4196418378008 11.572696685568 11.1870624363117
"11350" 10.9811219164014 11.0428132895282 11.3598344471144 11.2287445210376 11.0365856320446 11.2035016698656 11.6625536825109 11.3460626965889 11.0725069124905 11.0512621973436 10.8809768679644
"11352" 11.1699700171956 11.0579518211475 10.7724012854844 11.0369057428819 10.7632581650271 10.9110559182293 10.9289334610276 10.7239434320401 10.8642380551352 11.0839304502663 10.8625936142247
"11354" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11363" 12.9031059045879 13.1688109166005 12.5295296166835 12.9061177214318 12.4565665162148 12.412077839842 13.0808450325179 13.0584008010302 12.9197920437928 12.7964816703206 12.8628340470226
"11364" 11.3275335700598 11.052237809841 11.1162818399048 11.2112369750479 11.0786908773606 10.9623194787315 10.9443502682981 11.1970957368876 10.872187925668 11.1246312325853 11.171114324746
"11370" 12.1859127768271 12.2481469960559 11.7650012601097 12.4611024070534 12.2921478919021 12.1728488481709 12.6194110802377 12.3146073889168 12.5146403715079 12.6354369552599 12.1687279228997
"11409" 11.0436181715119 10.7053121554841 10.9149531603805 10.9448388713756 10.9650552052292 10.8311177830125 10.8283492493342 11.0200954769346 11.1216305738064 10.8556479450402 11.0138092830419
"11416" 10.792986523223 10.712254157925 11.4323472995106 10.9670665426529 11.1126449424629 11.5459769302875 11.0740238927872 10.8242440531049 10.661318863281 11.0458244449715 10.8070913901453
"11418" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11419" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11421" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 10.1662612095084 10.2331903544678 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 10.1169006504302
"11423" 9.88925894188358 10.3684553139389 10.5563270463782 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 10.3814100757778 9.88925894188358 10.3793014029566
"11425" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11426" 10.7464621215013 11.0226800778114 9.88925894188358 10.8188638549134 10.551465163733 10.6157884601441 10.7761490645406 10.7046949049688 9.88925894188358 9.88925894188358 10.7472207060991
"11428" 11.9905584330588 12.1082832919434 11.7505386096936 11.8853566731539 11.8921043006271 11.72343266329 11.9171551353563 11.8628169602677 11.9709191501343 11.6646029528887 11.8401257369252
"11429" 13.3845706382812 13.5896572332353 13.2216505509481 13.0638291191921 13.3139560480261 12.9429992302259 13.5938915501144 13.6202945242655 13.2452482934967 13.4156668109268 13.1869252078563
"11430" 11.8424627902474 11.5138493417659 11.1945720034445 11.7145747286612 11.7288602006554 11.4308066880609 11.2367851655444 11.9903248674548 11.4089124712143 11.095079965102 11.8918665803746
"11431" 11.3936984833315 11.2801873888717 11.4870003797181 11.6489952213952 11.3539451111428 11.4942403158849 11.3004997011135 11.5187598956177 11.3327197399801 11.3669293332799 11.3543449246641
"11432" 10.9527833681959 11.3739753636982 11.996387968703 11.495873780309 11.2025217804339 11.2673967241715 10.9812735057676 11.093307722062 11.238531991549 10.8868914042461 11.0869568330601
"11433" 10.5386104550534 10.4129288735693 11.3577317220136 10.6817243162996 10.8258023777403 11.2189806309761 10.6025275930257 10.8092116632083 10.5683382236669 11.2657248846485 10.6298745952194
"11434" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11435" 10.4935049051919 10.4949973394843 10.5411175705355 10.5111616848986 10.6126579196726 10.4843161683666 10.6117772401749 10.5938734793214 10.5192805026443 10.4813112961834 10.5435028265682
"11438" 9.88925894188358 9.88925894188358 9.88925894188358 10.2020822431719 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11440" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11441" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11443" 9.88925894188358 10.4786129255116 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11444" 10.4512603222538 9.88925894188358 9.88925894188358 10.416238762559 9.88925894188358 10.6066666567434 9.88925894188358 10.5528231632863 10.6260250469879 9.88925894188358 9.88925894188358
"11447" 10.1143580629398 9.88925894188358 10.1533527410208 9.88925894188358 10.1547873621013 9.88925894188358 10.2296258225644 9.88925894188358 9.88925894188358 10.2147916708202 10.1416367589679
"11448" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11449" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11450" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11451" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 10.3913997632866 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11459" 10.2785862219674 9.88925894188358 10.3395619012743 10.2291965520035 9.88925894188358 10.3150717802386 9.88925894188358 10.3376844598738 9.88925894188358 9.88925894188358 10.2802220308452
"11461" 14.1439051407149 14.3329936950047 14.7114633848083 14.4834754778592 14.4930046381005 14.5929885305723 14.3379278112188 14.302573165488 14.3387621199253 14.9801265452387 14.4131960058419
"11464" 10.2148115994766 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 10.3043467138168 9.88925894188358 9.88925894188358 9.88925894188358
"11465" 13.7643843101491 14.2288187982881 14.7564995065386 13.9055944188373 14.4178150828961 14.7890440548974 14.2968298777841 14.2792748353027 13.7255962583038 14.9689230707641 14.3828199099227
"11468" 9.88925894188358 10.1997304824139 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11470" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11471" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358
"11472" 9.88925894188358 10.732385167268 10.5144041913323 10.4294200423628 10.2034894939094 10.2414756278203 10.4490725451305 10.2360393170904 10.2684616407399 9.88925894188358 10.5132065562385
"11474" 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 9.88925894188358 10.3248846895459 9.88925894188358 9.88925894188358
"11475" 10.4380868369838 10.1503942363414 10.1824720349502 10.3657689442613 10.1545942111102 10.4227602505302 9.88925894188358 10.2931167727055 9.88925894188358 9.88925894188358 10.3318166235178
"11477" 10.711649068577 10.6886324354132 10.438120067215 11.0644246886536 10.7148450962566 10.7006038718949 10.7255368022619 10.8727031613095 10.7388272335147 10.8239602168514 10.9302400566163
"11479" 9.88925894188358 10.6716536409919 10.4954497234298 10.4127480000399 10.5381860541849 10.4142415745058 10.5153354836565 10.546753085666 10.5916434963444 10.3201460351537 10.5038251776275
"11480" 10.9693491744156 10.728450616801 10.8603963159894 10.7140079067891 10.5406025467253 10.4545561893069 10.8597032114357 10.7044200920605 10.8308992003296 10.733372975104 10.8119424899833
"11481" 10.6028282662207 10.3072140853995 10.3984543899866 10.3760649503452 9.88925894188358 9.88925894188358 10.2983664597699 10.4259904702585 10.5312759443818 10.4716977484993 9.88925894188358
"11482" 10.9940558201932 11.3375353449713 11.1043854627247 11.0408046096093 11.1203036029212 10.8951313893474 11.1855940096752 10.9063565110868 11.2393607624921 11.5138479547893 11.5255973734799
