"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"11287",9.88800592506806,2.5644970475388,4.00363938869845,0.640541467040689,0.521820639386015,0.945347531232576
"11298",0,NA,NA,NA,NA,NA
"11302",715.026061879696,-0.851664952457959,0.885433609832205,-0.961862010884537,0.336118923544629,0.831143232033193
"11303",2692.37530166145,1.08276877780513,0.47326829862376,2.28785401632387,0.0221460239440203,0.187493295363481
"11304",0,NA,NA,NA,NA,NA
"11305",294.487717910069,1.80110594806326,1.98438949316787,0.907637313271591,0.364069873562344,0.854352786764266
"11306",565.019252766925,1.59229779774606,1.38462903221992,1.14998151901611,0.250151483164918,0.738206130432199
"11307",1056.05465866658,0.12053427912375,0.653256662078133,0.184512896876256,0.85361111060936,0.984891605493117
"11308",1434.97676480299,0.189552300876139,0.631341572521605,0.300237318634126,0.76399614119671,0.984891605493117
"11350",1734.20684367354,0.0935588385414234,0.51193028622223,0.182756990667298,0.854988696632678,0.984891605493117
"11352",519.097332092428,1.44761402516701,1.26281006207739,1.14634343567521,0.251653077260144,0.739112330242433
"11354",0,NA,NA,NA,NA,NA
"11363",8426.29705693345,0.00649557779342524,0.204211390483079,0.0318081071680645,0.974625081324062,0.995284041231003
"11364",1297.70723627384,0.522855238630922,0.412269567662716,1.26823631827872,0.204713570906319,0.673950310698186
"11370",5453.72552340684,-0.203522782672754,0.312606618646578,-0.65105077926341,0.515013708161159,0.945187287877555
"11409",444.92615079781,-0.846863176150635,1.11001067535018,-0.762932460882387,0.44550367593259,0.909778707978575
"11416",1051.85381411946,-1.18639215533761,0.512034246675529,-2.31701719765908,0.0205027949640907,0.177724349982485
"11418",1.0937740356275,24.8312869839023,4.02271732588283,6.1727645698925,6.71061016191534e-10,3.17890020274982e-08
"11419",0,NA,NA,NA,NA,NA
"11421",485.273966358826,-1.43965142583232,1.70929631640775,-0.842248012830151,0.399649143922229,0.881718142447733
"11423",41.4236704810337,-2.86552654434431,2.49983116331667,-1.1462880319255,0.251675993275858,0.739112330242433
"11425",0,NA,NA,NA,NA,NA
"11426",814.354399365981,0.254237949304488,1.84083593283472,0.138110053573859,0.890153440319746,0.984891605493117
"11428",1934.04293851845,-1.07535268815025,0.644103415043912,-1.66953421303772,0.0950115558434474,0.45602971093412
"11429",8315.13247010784,-0.292459920876776,0.312844053453937,-0.934842512260947,0.349869467125861,0.842921037987059
"11430",9979.80104938261,0.25947645311717,0.195555192293156,1.32687069095149,0.184551461146841,0.641021500893851
"11431",1429.61664378525,0.0176130037674825,0.543822171813617,0.0323874322901254,0.97416308481109,0.995102415871398
"11432",530.464997970761,1.66364492106498,1.52023568805123,1.09433355244908,0.273808714928346,0.765184239950914
"11433",107.529748160772,8.20152508193748,1.73525834864569,4.72640001319601,2.28535241922752e-06,5.28917184083964e-05
"11434",2.15496281746996,4.53963658302474,3.93839970354395,1.15266019823731,0.249049884198626,0.737362575206801
"11435",47.2386929105924,0.806555158174554,0.843829337860033,0.955827348003796,0.339159469098047,0.833134706955383
"11438",5.13213844280947,-26.4936346433276,4.01897266709962,-6.59214103649213,4.33528448073497e-11,3.05497360125025e-09
"11440",0,NA,NA,NA,NA,NA
"11441",0,NA,NA,NA,NA,NA
"11443",241.45156116272,1.23484416087606,1.84705024039771,0.668549308442291,0.503783017988916,0.938888852302498
"11444",0.304200327949288,1.84927158534152,4.05315753779366,0.456254554158823,0.648206939769684,0.975193751357106
"11447",2.3331229975059,0.843823547782988,3.78103681797922,0.223172528701789,0.823401231694043,0.984891605493117
"11448",0,NA,NA,NA,NA,NA
"11449",0,NA,NA,NA,NA,NA
"11450",0,NA,NA,NA,NA,NA
"11451",0,NA,NA,NA,NA,NA
"11459",2.00985851924321,-2.86506931841581,3.95613441235482,-0.724209296192854,0.468937252237494,0.924429678593162
"11461",52980.9083520407,0.316504938993236,0.109059794794263,2.90212300133437,0.0037064297954095,0.0491097943028085
"11464",0.709416944516637,-32.6795365328394,4.02464409462485,-8.11985749907298,4.66731372453412e-16,9.86684053646288e-14
"11465",95432.1551213316,0.555266652115185,0.207665311171145,2.67385365896555,0.00749851651161807,0.0866304958161161
"11468",2.92406126623822,-0.343189568945926,4.05284647163128,-0.0846786502642406,0.932516869614321,0.98789595671034
"11470",0,NA,NA,NA,NA,NA
"11471",0,NA,NA,NA,NA,NA
"11472",6.93440816565881,7.39011241174926,3.88383764804458,1.90278613099855,0.0570684576411733,0.341350352208437
"11474",9.7344104943772,23.6885508816475,4.01965359019888,5.89318217356025,3.78828362807599e-09,1.42326939475554e-07
"11475",149.903614078778,-1.70962441450026,1.53830558948586,-1.1113685253342,0.266409754447842,0.754343434582697
"11477",1961.18803610997,0.382968579587394,0.72016753333612,0.531777068334811,0.594880407021557,0.966926918216113
"11479",74.0654829482109,3.45701515463061,1.9374563229119,1.78430610989717,0.0743739379740406,0.398334491968695
"11480",1163.2394224341,0.00559717630094603,1.15673188884716,0.00483878447107079,0.996139223643416,0.998960348604173
"11481",58.9430675214546,3.06178383934782,2.38705608398301,1.28266104005356,0.199610854946849,0.66618476660395
"11482",9894.10580400833,0.246095941361609,0.191528402560897,1.28490572714594,0.198825229375897,0.664188808698162
"11484",0,NA,NA,NA,NA,NA
"11486",976.774699972947,0.10133030197165,1.64403914211494,0.0616349692509728,0.950853528435384,0.989044360104797
"11487",5391.26386775754,0.354843763473049,0.46500308017099,0.76309981289278,0.44540387163195,0.909778707978575
"11488",4.93114083025388,5.45519558419361,3.92113470243038,1.39122881466235,0.164156052114833,0.603766897469356
"11489",0.468798964876078,2.24320719510038,4.03728070052284,0.55562329238338,0.578468404980538,0.962908526230319
"11490",10031.8074672101,0.191727708228766,0.29563007395888,0.648539256041434,0.516636229211365,0.945347531232576
"11491",3355.40870371384,0.594208635192088,0.547533078247561,1.08524700844361,0.277812269076642,0.769443288854431
"11492",251.002927123557,-1.2381443017562,2.11515619419191,-0.585367787568628,0.558300443498946,0.958401100681016
"11495",0,NA,NA,NA,NA,NA
"11496",66.5362514976867,-0.255515373855717,1.06315468683671,-0.240336967911953,0.810069038449277,0.984891605493117
"11497",0,NA,NA,NA,NA,NA
"11498",0.410165263360311,2.29688365577331,4.0409611554926,0.568400330364799,0.569763166158626,0.960256589977197
"11499",0,NA,NA,NA,NA,NA
"11500",0.413120489991415,-1.36564093006961,4.03405543754486,-0.338528052281985,0.734965290983701,0.984891605493117
"11501",540.370159940876,-4.01225921735314,1.29993431998945,-3.08650918408377,0.00202521690276094,0.0297564027082012
"11502",3501.84024781065,-0.624016108698157,0.316997896028014,-1.96851814007942,0.049008451008518,0.311699910231095
"11504",84749.4760619217,-0.0282574386024523,0.125092213572816,-0.22589286571385,0.821284746759985,0.984891605493117
"11512",0,NA,NA,NA,NA,NA
"11513",1.80154834497349,0.473965244988294,4.08052381408439,0.116153039801495,0.90753125356419,0.984891605493117
"11514",0,NA,NA,NA,NA,NA
"11515",75.6603069071601,2.35951065202041,2.3376204159306,1.0093643244817,0.312799941345931,0.810704184670407
"11516",0.453941231284647,0.47396524498829,4.08052381408439,0.116153039801495,0.907531253564191,0.984891605493117
"11517",0.397125839395718,-1.77969962170185,4.01109243530917,-0.443694492312211,0.657263478011126,0.975650664612725
"11518",2609.56053339745,1.45042458837044,1.19960655486243,1.20908358035504,0.226630736706534,0.704255760138514
"11519",9.9713305918063,22.3067855006705,4.0194360059441,5.54973022774397,2.86110746180378e-08,8.78011627967854e-07
"11520",37887.7763841587,0.476799700036212,0.222016462602402,2.14758714037385,0.0317465679010709,0.23657114910759
"11522",3.49830377141681,23.6723814484964,4.02057764399771,5.88780606782629,3.91355957044213e-09,1.451092775699e-07
"11529",0,NA,NA,NA,NA,NA
"11532",2845.04345941204,-0.464987276385533,0.478964093475189,-0.970818653673504,0.331638591883158,0.826267197085848
"11534",1060.4331709449,-0.0535798379304545,0.787041356367453,-0.0680775381077169,0.945723910859748,0.988842220184893
"11535",5499.20106147547,0.446107444397394,0.265859207036399,1.67798380718226,0.0933502602027266,0.452038661713306
"11536",137.830437316047,2.92295100805489,2.35288784824911,1.24228233412399,0.214132410970867,0.686969755150931
"11537",0,NA,NA,NA,NA,NA
"11538",172.738726087414,1.40044281590967,1.18079206446163,1.18601984046038,0.235614464356988,0.718101262886316
"11539",0,NA,NA,NA,NA,NA
"11540",271.228395804992,0.221538268393488,1.69653474595315,0.130582806465908,0.896105344701936,0.984891605493117
"11541",73.1094863183043,8.38856522172149,3.33895405263603,2.51233323055132,0.0119935777503956,0.122832274227479
"11542",8.94990553655736,1.1296896001098,1.4872962567531,0.759559230368812,0.447518096760589,0.910449560457169
"11544",2622.88192185221,-0.307260544959851,0.261968344912355,-1.17289188150824,0.240839165605662,0.725642616813147
"11545",1623.5400555479,-0.555115698860739,0.567440782785454,-0.97827952396334,0.327936094220826,0.821522256551782
